Year;Month;Day;Artist;Song;Seconds
2019;8;18;Marina and The Diamonds ; Hollywood;460.636
2019;8;18;Marina and The Diamonds ; Hermit the Frog;431.89
2019;8;18;Marina and The Diamonds ; Girls;417.586
2019;8;18;Marina and The Diamonds ; Obsessions;416.38
2019;8;18;Marina and The Diamonds ; I Am Not a Robot;406.896
2019;8;18;Marina and The Diamonds ; Are You Satisfied?;402.308
2019;8;18;Marina and The Diamonds ; The Outsider;394.18
2019;8;18;Marina and The Diamonds ; Mowgli's Road;385.078
2019;8;18;Marina and The Diamonds ; Shampain;383.592
2019;8;18;Marina and The Diamonds ; Oh No!;365.248
2019;8;18;Marina and The Diamonds ; Rootless;294.772
2019;8;18;Marina and The Diamonds ; Numb;256.743
2019;8;18;Marina and The Diamonds ; The Family Jewels;245.458
2019;8;18;Marina and The Diamonds ; Guilty;221.053
2019;8;18;Marina and The Diamonds ; Bubblegum Bitch;65.374
2019;8;18;Marina and The Diamonds ; Teen Idle;0
2019;8;19;Marina and The Diamonds ; Oh No!;365.248
2019;8;19;Billie Eilish & Khalid ; lovely;341.947
2019;8;19;Marina and The Diamonds ; Rootless;308.354
2019;8;19;Marina and The Diamonds ; Numb;256.743
2019;8;19;Marina and The Diamonds ; The Family Jewels;245.458
2019;8;19;Marina and The Diamonds ; Guilty;221.053
2019;8;19;Marina and The Diamonds ; I Am Not a Robot;215.202
2019;8;19;Marina and The Diamonds ; Girls;208.793
2019;8;19;Marina and The Diamonds ; Are You Satisfied?;201.154
2019;8;19;Marina and The Diamonds ; Mowgli's Road;192.539
2019;8;19;Marina and The Diamonds ; Shampain;191.796
2019;8;19;Marina and The Diamonds ; Obsessions;146.806
2019;8;19;Marina and The Diamonds ; The Outsider;0
2019;8;19;Marina and The Diamonds ; Hollywood;0
2019;8;19;Marina and The Diamonds ; Hermit the Frog;0
2019;8;20;Marina and The Diamonds ; Are You Satisfied?;201.154
2019;8;20;Marina and The Diamonds ; Mowgli's Road;192.539
2019;8;20;Marina and The Diamonds ; Shampain;191.796
2019;8;20;Marina and The Diamonds ; Oh No!;182.624
2019;8;20;Marina and The Diamonds ; I Am Not a Robot;175.079
2019;8;20;Marina and The Diamonds ; Obsessions;88.834
2019;8;20;Marina and The Diamonds ; Rootless;0
2019;8;20;Marina and The Diamonds ; Girls;0
2019;8;20;Marina and The Diamonds ; Hermit the Frog;0
2019;8;20;Marina and The Diamonds ; Hollywood;0
2019;8;20;Marina and The Diamonds ; The Outsider;0
2019;8;22;Marina and The Diamonds ; Oh No!;730.496
2019;8;22;Marina and The Diamonds ; Rootless;546.022
2019;8;22;Marina and The Diamonds ; Numb;513.486
2019;8;22;Marina and The Diamonds ; Hermit the Frog;431.89
2019;8;22;Marina and The Diamonds ; I Am Not a Robot;430.404
2019;8;22;Marina and The Diamonds ; Girls;417.586
2019;8;22;Marina and The Diamonds ; Are You Satisfied?;402.308
2019;8;22;Marina and The Diamonds ; Mowgli's Road;385.078
2019;8;22;Marina and The Diamonds ; Shampain;383.592
2019;8;22;Marina and The Diamonds ; Obsessions;256.808
2019;8;22;Marina and The Diamonds ; Hollywood;230.318
2019;8;22;Marina and The Diamonds ; The Outsider;197.09
2019;8;22;Marina and The Diamonds ; Guilty;160.289
2019;8;23;Marina and The Diamonds ; Froot;331.395
2019;8;23;Marina and The Diamonds ; Mowgli's Road;190.805
2019;8;23;Marina and The Diamonds ; Oh No!;182.624
2019;8;23;Marina and The Diamonds ; I'm a Ruin;180.866
2019;8;23;Marina and The Diamonds ; Rootless;36.501
2019;8;23;Marina and The Diamonds ; Hermit the Frog;0
2019;8;23;Marina and The Diamonds ; Hollywood;0
2019;8;23;Marina and The Diamonds ; The Outsider;0
2019;8;23;Marina and The Diamonds ; Obsessions;0
2019;8;23;Marina and The Diamonds ; Guilty;0
2019;8;24;Billie Eilish & Khalid ; lovely;1401.736
2019;8;24;Marina and The Diamonds ; Froot;331.395
2019;8;24;My Chemical Romance ; Disenchanted;295.055
2019;8;24;My Chemical Romance ; Sleep;283.515
2019;8;24;My Chemical Romance ; Mama;279.08
2019;8;24;Marina and The Diamonds ; Solitaire;277.176
2019;8;24;Marina and The Diamonds ; Better Than That;276.271
2019;8;24;Marina and The Diamonds ; I'm a Ruin;272.114
2019;8;24;Marina and The Diamonds ; Gold;254.235
2019;8;24;Marina and The Diamonds ; Blue;254.212
2019;8;24;Marina and The Diamonds ; Forget;249.591
2019;8;24;Marina and The Diamonds ; Weeds;247.617
2019;8;24;My Chemical Romance ; This Is How I Disappear;239.119
2019;8;24;Marina and The Diamonds ; I Am Not a Robot;215.202
2019;8;24;Marina and The Diamonds ; Girls;208.793
2019;8;24;Marina and The Diamonds ; Obsessions;208.19
2019;8;24;Stray Kids ; MIROH;207.679
2019;8;24;Marina and The Diamonds ; Can't Pin Me Down;205.728
2019;8;24;Marina and The Diamonds ; Are You Satisfied?;201.154
2019;8;24;My Chemical Romance ; The Sharpest Lives;200.945
2019;8;24;Marina and The Diamonds ; Mowgli's Road;192.539
2019;8;24;Marina and The Diamonds ; Rootless;192.286
2019;8;24;Marina and The Diamonds ; Shampain;191.796
2019;8;24;Marina and The Diamonds ; Oh No!;182.624
2019;8;24;My Chemical Romance ; Teenagers;161.982
2019;8;24;My Chemical Romance ; Famous Last Words;115.553
2019;8;24;Marina and The Diamonds ; Savages;112.143
2019;8;24;My Chemical Romance ; Cancer;0
2019;8;24;My Chemical Romance ; House of Wolves;0
2019;8;24;Marina and The Diamonds ; The Outsider;0
2019;8;24;My Chemical Romance ; Welcome to the Black Parade;0
2019;8;24;Marina and The Diamonds ; Hermit the Frog;0
2019;8;24;My Chemical Romance ; I Don't Love You;0
2019;8;24;Marina and The Diamonds ; Hollywood;0
2019;8;25;Marina and The Diamonds ; Blue;246.981
2019;8;25;Stray Kids ; MIROH;0
2019;8;26;Billie Eilish & Khalid ; lovely;3003.72
2019;8;26;Stray Kids ; MIROH;2076.79
2019;8;26;Marina and The Diamonds ; Blue;0
2019;8;28;The Neighbourhood ; Sweater Weather;10837.865
2019;8;28;Lady Gaga & Bradley Cooper ; Shallow;674.299
2019;8;28;Lady Gaga ; Paparazzi;415.892
2019;8;28;Lana Del Rey ; Summertime Sadness;264.893
2019;8;28;Sleeping At Last ; Atlas: Six;252.888
2019;8;28;Lady Gaga ; Just Dance (feat. Colby O'Donis);242.137
2019;8;28;David Guetta ; Titanium (feat. Sia);241.066
2019;8;28;Lady Gaga ; So Happy I Could Die;234.893
2019;8;28;Lady Gaga ; Telephone (feat. Beyoncé);220.682
2019;8;28;Lady Gaga ; Teeth;217.123
2019;8;28;Sia ; Chandelier;216.224
2019;8;28;Lady Gaga ; Applause;212.462
2019;8;28;Lil Nas X, Billy Ray Cyrus & Diplo ; Old Town Road (Diplo Remix);204.149
2019;8;28;Sleeping At Last ; Atlas: One;203.081
2019;8;28;Sia ; The Greatest;199.351
2019;8;28;Marina and The Diamonds ; Are You Satisfied?;198.44
2019;8;28;Harry Styles ; Kiwi;176.518
2019;8;28;Melanie Martinez ; Gingerbread Man;161.39
2019;8;28;will.i.am ; Boys & Girls (feat. Pia Mia);96.407
2019;8;28;Marina and The Diamonds ; Oh No!;63.808
2019;8;28;Sleeping At Last ; Atlas: Two;55.424
2019;8;28;Lady Gaga ; Bad Romance (Starsmith Remix);36.176
2019;8;28;Lady Gaga ; Brown Eyes;30.821
2019;8;28;Lady Gaga ; Starstruck (feat. Space Cowboy & Flo Rida);0
2019;8;28;Marina and The Diamonds ; Girls;0
2019;8;28;Marina and The Diamonds ; The Outsider;0
2019;8;28;Lady Gaga ; LoveGame;0
2019;8;28;Sleeping At Last ; Atlas: Seven;0
2019;8;28;Lady Gaga ; I'll Never Love Again (Extended Version);0
2019;8;28;ZAYN ; Dusk Till Dawn (feat. Sia);0
2019;8;28;Lady Gaga ; Eh, Eh (Nothing Else I Can Say);0
2019;8;28;Marina and The Diamonds ; Hollywood;0
2019;8;28;Lady Gaga ; Just Dance (feat. Colby O'Donis);0
2019;8;28;Lady Gaga ; Is That Alright?;0
2019;8;28;Lady Gaga ; The Fame;0
2019;8;28;Lady Gaga ; Always Remember Us This Way;0
2019;8;28;Sleeping At Last ; Heart;0
2019;8;28;Marina and The Diamonds ; Happy;0
2019;8;28;Billie Eilish & Khalid ; lovely;0
2019;8;28;Lady Gaga & Bradley Cooper ; Music To My Eyes;0
2019;8;28;Lady Gaga ; Boys Boys Boys;0
2019;8;28;Lady Gaga ; Look What I Found;0
2019;8;28;Lady Gaga & Bradley Cooper ; Diggin' My Grave;0
2019;8;28;Marina and The Diamonds ; Mowgli's Road;0
2019;8;28;Marina and The Diamonds ; I Am Not a Robot;0
2019;8;28;Lady Gaga ; Poker Face;0
2019;8;28;Lady Gaga ; Beautiful, Dirty, Rich;0
2019;8;28;Marina and The Diamonds ; Shampain;0
2019;8;28;David Guetta & Sia ; Flames;0
2019;8;28;Lady Gaga ; Money Honey;0
